hole_id,prospect,sample_id,depth_from,depth_to,length,lith1,alt_1_type,alt_1_style,Au_ppm_preferred,Ag_ppm,Al_pct,As_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_pct,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,K_pct,La_ppm,Li_ppm,Lu_ppm,Mg_pct,Mn_pct,Mo_ppm,Na_pct,Nb_ppm,Ni_ppm,P_pct,Pb_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_pct,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
HOLE_048,Jerimum de Cima,105073,28.00,29.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105074,29.00,30.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105075,30.00,31.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105076,31.00,32.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105077,32.00,33.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105078,33.00,34.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105079,34.00,35.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105080,35.00,36.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105081,36.00,37.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105082,37.00,38.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105083,38.00,39.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105084,39.00,40.00,1.00,SAP,SAP,PV,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105085,40.00,41.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105086,41.00,42.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105087,42.00,43.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105088,43.00,44.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105089,44.00,45.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105090,45.00,46.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105091,46.00,47.00,1.00,SAP,SAP,PV,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_048,Jerimum de Cima,105092,47.00,48.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
